AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h,has_outliers
24.0,17.0,24.0,15.0,28.0,10.0,14.0,7.0,15.0,62.0,64.0,58.0,60.0,0.25,0.4,False
53.0,37.0,60.0,52.0,66.0,6.0,8.0,18.0,25.0,46.0,61.0,45.0,51.0,0.7,0.7,False
51.0,36.0,32.0,42.0,37.0,11.0,12.0,26.0,16.0,32.0,61.0,53.0,59.0,0.4,0.2,False
170.0,129.0,70.0,189.0,116.0,19.0,15.0,80.0,58.0,14.0,87.0,27.0,67.0,0.92,0.67,False
129.0,98.0,82.0,134.0,120.0,11.0,12.0,70.0,53.0,34.0,85.0,45.0,71.0,1.03,0.85,False
219.0,169.0,81.0,240.0,121.0,9.0,12.0,82.0,51.0,6.0,77.0,23.0,59.0,1.65,1.02,True
136.0,104.0,80.0,160.0,130.0,14.0,14.0,85.0,70.0,5.0,37.0,10.0,23.0,1.42,1.08,False
118.0,89.0,83.0,105.0,102.0,12.0,14.0,89.0,58.0,11.0,94.0,36.0,69.0,1.05,0.97,False
74.0,54.0,48.0,61.0,66.0,6.0,8.0,21.0,28.0,25.0,91.0,39.0,71.0,0.7,0.7,False
126.0,96.0,57.0,139.0,97.0,10.0,13.0,72.0,59.0,6.0,49.0,17.0,43.0,1.18,0.82,False
93.0,69.0,85.0,100.0,124.0,7.0,12.0,62.0,55.0,33.0,101.0,48.0,77.0,0.98,0.86,False
161.0,123.0,77.0,151.0,106.0,6.0,7.0,79.0,48.0,11.0,83.0,31.0,66.0,1.02,0.63,False
96.0,72.0,67.0,113.0,106.0,10.0,12.0,88.0,58.0,5.0,110.0,43.0,84.0,0.8,0.73,False
148.0,113.0,86.0,166.0,134.0,8.0,10.0,76.0,45.0,8.0,81.0,37.0,66.0,1.33,0.93,False
109.0,82.0,84.0,116.0,122.0,6.0,11.0,63.0,61.0,19.0,65.0,27.0,43.0,0.95,1.05,False
