ÀÆ÷ ¿‡±,ÀÆŒ¬(°Ê),pH(Œﬁ¡ø∏Ÿ),»‹Ω‚—ı(mg/L),µÁµº¬ (¶ÃS/cm),◊«∂»(NTU),∏ﬂ√ÃÀ·—Œ÷∏ ˝(mg/L),∞±µ™(mg/L),◊‹¡◊(mg/L),◊‹µ™(mg/L)
¢Ú,11,7.62,8.62,429,10.1,1.96,0.067,0.064,3.33
¢Ú,15.5,7.92,9.27,434.4,12.9,0.56,0.025,0.032,1.08
¢Ú,9.4,7.36,12.13,130.1,18.6,1.45,0.025,0.043,2
¢Ú,11,7.31,9.23,645,3.8,1.52,0.209,0.086,2.88
¢Ú,9.3,8.58,22.6,465.5,7.8,2.84,0.025,0.02,1.2
¢Û,12.1,8.13,9.81,963.1,31.6,1.27,0.079,0.11,3.27
¢Ú,10.1,8.29,11.78,536.6,13.2,0.98,0.025,0.032,1.77
¢Ò,6.6,8.37,10.82,299.6,13.1,0.37,0.027,0.012,0.58
¢Ú,9.3,8.2,10.22,295.9,12.8,1.11,0.031,0.026,1.13
¢Ò,9.9,7.88,9.91,291.7,10.4,0.63,0.061,0.019,0.76
¢Û,12.1,7.96,7.34,270.1,11.5,1.46,0.025,0.028,0.51
¢Ú,7,8.33,10.78,343.3,10.7,0.49,0.067,0.025,1.24
¢Ò,23.1,8.06,8.15,323.9,70.8,1.93,0.025,*,*
¢Ò,6.6,8.44,12.9,412.9,2.3,0.52,0.025,0.005,1.64
¢Ò,6.6,8.34,9.37,442.9,33.8,0.45,0.04,0.018,0.82
¢Ò,11.9,8.25,10.41,350.9,5.1,0.61,0.025,0.01,0.86
¢Ò,8.8,8.27,11.09,401.9,5.3,0.53,0.025,0.01,1.94
¢Ò,7,8.04,13.09,585.3,2.7,0.89,0.025,0.011,1.79
¢Ò,10.7,8.11,10.11,306.2,15.2,1.23,0.025,0.011,0.51
¢Û,9.9,7.71,9.05,657.8,12.2,4.32,0.056,0.069,1.56
¢Ú,9.5,8.23,10.47,397.6,113,2,0.277,0.062,1.86
¢Û,9.9,7.59,7.23,527,19.4,4.26,0.488,0.053,1.32
¢Ú,10,7.82,10.78,458,15.8,2.41,0.048,0.032,1.6
¢Û,10.4,8.34,12.84,632.5,3.8,5.19,0.025,0.017,0.58
¢Û,10.9,8.03,9.28,598.6,16.7,2.53,0.052,0.179,2.75
¢Ú,10.6,8.07,10.83,472.6,20.4,1.68,0.06,0.072,2.21
¢Ú,9.8,8.09,10.29,315.8,3.6,0.68,0.025,0.029,1.39
¢Ú,12,7.37,9.54,281.7,3.4,1.43,0.025,0.054,1.58
¢Ú,9.7,7.99,10.82,317.7,4.5,0.91,0.025,0.024,1.25
¢Ú,13.3,7.79,8.94,334.8,7.2,1.59,0.081,0.022,1.23
¢Ú,12,7.23,6.4,375.3,5.1,2.62,0.08,0.005,0.32
¢Ò,13.1,7.22,8.33,365,28.4,1.56,0.025,0.013,0.78
¢Ú,11.6,7.95,8.84,496.2,17.7,2.06,0.031,0.061,2.48
¢Ú,11.1,8.12,10.68,450.5,7.7,1.48,0.042,0.06,2.65
¢Ú,8.9,8.07,10.39,301.9,7.7,0.67,0.056,0.042,1.05
¢Ú,10.3,7.65,8.9,386.9,3.7,2,0.063,0.027,0.58
¢Ú,11.5,7.79,9.81,308.5,11.6,0.98,0.179,0.054,1.59
¢Ú,12.1,7.69,9.81,329.9,26.2,1.16,0.103,0.058,1.93
¢Ú,14.6,7.96,9.32,454.3,5.9,0.76,0.025,0.032,1.04
¢Ò,16.6,7.94,9.63,490.8,3.9,0.48,0.025,0.017,0.88
¢Ú,12.2,7.97,10.48,796.5,8.7,1.5,0.058,0.073,3.95
¢Ò,17.2,8.1,9.08,506.4,5.7,0.86,0.025,0.016,0.68
¢Ú,12.6,8.04,11,310.9,5,0.47,0.035,0.075,3.43
¢Ú,11.6,7.78,9.17,329.1,43.2,1.78,0.025,0.021,1.4
¢Ú,11.4,7.63,9.8,385.1,9.9,2.44,0.025,0.043,1.53
¢Ú,9.4,7.85,9.83,1009,5.5,3.11,0.172,0.062,2.01
¢Ò,11.5,7.94,11.4,296,1.2,1.5,0.025,0.017,0.97
¢Ú,11.6,7.88,10.38,270.9,5.8,1.3,0.025,0.024,0.82
¢Û,10.1,8,12.3,452.3,18.6,4.36,0.025,0.035,2.01
¢Û,9.4,7.23,10.5,356.1,6.8,4.01,0.076,0.052,1.26
¢Ú,11,7.54,9.19,491.3,16.9,2.96,0.088,0.08,2.76
¢Ú,11.5,7.62,9.62,357.9,5.3,1.35,0.178,0.069,1.87
¢Ò,12.5,8.23,9.43,255.4,5.6,0.44,0.025,0.012,0.52
¢Ú,10,7.9,10.23,394.3,6.4,1.56,0.025,0.056,2.92
¢Ú,10.8,8.29,10.64,644.7,6.5,2.58,0.069,0.071,3.28
¢Ú,10.6,8.07,11.3,603.8,14.2,1.44,0.029,0.076,3.1
¢Û,8.8,7.84,11.01,659.3,3.4,5.05,0.25,0.086,0.97
¢Û,9.7,7.96,10.83,783,7.4,5.11,0.036,0.045,2.13
¢Ò,6.1,8.67,11.79,274.4,26.7,0.51,0.037,0.011,0.54
¢Ò,1.3,8.47,10.68,183,8.6,0.47,0.025,0.005,0.52
¢Ò,0.5,8.43,10.15,296.7,7,0.25,0.025,0.005,0.45
¢Ò,2.8,8.68,10.4,1496.3,13.9,0.41,0.025,0.006,0.55
¢Ú,16.9,8.17,6.91,233.3,9.5,0.66,0.056,0.006,0.21
¢Ú,11.3,7.59,9.47,250.8,102.9,2.85,0.074,0.044,2.56
¢Ú,10.3,7.69,8.86,225.5,112.8,1.59,0.043,0.063,1.19
¢Ú,12.6,8.06,6.96,339.6,6.2,1.53,0.09,0.016,0.29
¢Û,9.9,7.92,8.18,469.1,0.8,1.35,0.025,0.025,1.73
¢Ú,9.4,8,9.02,355.9,3.8,2.28,0.025,0.016,0.6
¢Û,10.2,7.47,9.15,641.6,5.3,2.27,0.193,0.178,7.51
¢Ò,14.3,7.7,8.33,425.1,8.1,0.88,0.07,0.009,3.2
¢Ò,11.6,7.97,7.86,407.1,23.5,0.79,0.091,0.016,3.04
¢Ú,12.4,8.26,10.35,364.6,1.5,0.25,0.041,0.036,2.38
¢Û,9.6,7.91,10.38,680.7,2.3,1.92,0.057,0.139,6.45
¢Ò,12,7.65,9.67,371.2,0.7,0.42,0.025,0.012,1.65
¢Ú,15.6,7.96,7.66,439.8,0.5,0.57,0.025,0.048,2.6
¢Ú,15.5,7.58,7.31,449.8,5.1,0.67,0.025,0.055,3.12
¢Ú,10.4,7.9,10.27,585.1,1.2,1.94,0.025,0.07,3.48
¢Ò,11,7.97,10.48,378.8,3,0.39,0.036,0.008,0.74
¢Ú,10.7,7.93,11.92,419,19.8,2.69,0.081,0.039,3.37
¢Ú,11,8.15,9.54,469.1,10.9,0.58,0.034,0.028,3.65
¢Ò,11.1,8.62,8.15,534.6,12,0.57,0.062,0.01,3.6
¢Ò,11.8,8.08,9.34,437.1,2.4,0.5,0.025,0.013,2.71
¢Ú,17.7,8.04,6.98,355.7,2.6,0.38,0.025,0.009,2.18
¢Ú,16.6,7.87,7.33,413.2,2.6,0.71,0.069,0.007,2.12
¢Ú,10.5,8.05,10.35,469.7,4.4,0.42,0.025,0.047,3.97
¢Ú,13.1,8.18,10.43,357.1,3.6,0.7,0.025,0.036,2.12
¢Ú,15.2,7.74,8.3,423.2,1.2,0.67,0.025,0.042,3.53
¢Ò,9.8,8.05,11.82,448.5,2.5,0.36,0.025,0.017,1.09
¢Ú,9.3,7.34,8.36,409.5,9,1.06,0.267,0.095,2.25
¢Ú,19.2,7.86,7.77,529.7,0.4,0.42,0.025,0.013,2.21
¢Ò,16.9,8.35,7.72,304.2,3.2,0.71,0.037,0.013,2.32
¢Ú,11.2,8.2,11.44,469.3,5.2,0.41,0.025,0.041,3.19
¢Ú,15.9,7.82,8.45,486.2,6.3,0.88,0.073,0.059,4.15
¢Ú,18.7,7.66,6.98,417.8,4.3,0.45,0.025,0.018,2.88
¢Ú,18.7,7.64,7.42,378.3,1.8,0.54,0.037,0.015,2.21
¢Ú,13.9,7.74,9.42,202.7,2.9,0.73,0.025,0.022,1.04
¢Ò,12.6,7.61,8.27,121,16.5,1.04,0.031,0.013,0.79
¢Ò,9.7,7.64,11.45,217.9,4.6,0.74,0.037,0.006,0.56
¢Ú,10,8.42,10.47,606.1,4.5,0.91,0.025,0.044,2.22
¢Ò,9.3,8.57,11.08,431.7,8.8,1.02,0.025,0.008,0.91
¢Ú,8.3,8.67,11.86,686.8,1.1,0.73,0.025,0.073,2.6
¢Ò,11.2,7.73,10.73,154.3,12,1,0.025,0.018,0.59
¢Ò,12.2,8,11.18,155.3,8.2,1.46,0.064,0.008,0.36
¢Û,10.2,8.12,10.36,996.1,0.4,1.91,0.112,0.177,5.74
¢Ò,11.1,7.76,11.18,363,1.9,0.72,0.05,0.006,0.74
¢Ò,16,7.93,8.45,352.7,0.7,0.31,0.052,0.009,1.32
¢Ò,12.6,8.29,9.62,277.1,9.3,0.73,0.025,0.01,0.98
¢ı,25.8,8.59,8.22,466.2,36.7,11.06,0.47,0.087,1.56
¢Ù,11.5,7.7,6.18,663.9,19.4,1.72,0.038,0.204,6.27
¢Ù,8.9,7.8,7.53,740.8,3.6,3.09,0.411,0.222,10.58
¢Û,12.4,8.03,7.53,668.9,5.1,2.12,0.078,0.136,5.73
¢Ú,12.8,8.21,7.86,486.1,2.2,1.38,0.035,0.09,3.91
¢Ú,12.3,8.17,7.54,1079,2,3.99,0.443,0.064,7.61
¢Ú,12.3,7.77,10.48,618.6,3,2.47,0.101,0.021,8.18
¢Û,15.1,7.19,6.97,462.8,3.6,3.07,0.117,0.12,8.88
¢Ú,13.9,8.15,7.35,436.9,7.8,1.42,0.084,0.073,4.05
¢Û,9.9,7.83,5.71,344.9,14.2,1.31,0.025,0.045,1.79
¢Ú,13.5,7.76,6.38,555.3,9.6,2.65,0.07,0.039,7.76
¢Ù,13.2,7.86,4.68,443.7,1.2,2.97,0.237,0.03,0.62
¢ı,12.2,8.04,7.07,696.4,18.1,5.02,0.565,0.36,6.63
¢Ú,14,8.26,8.32,425.5,5.1,1.42,0.065,0.07,4.25
¢Ú,13,8.25,6.45,653.5,8.3,2.19,0.376,0.093,5.27
¢Ú,10.5,8.15,6.87,408.8,7,0.9,0.033,0.028,1.92
¢Ù,9.8,8.95,6.75,466.7,3.9,3.84,0.129,0.265,3.66
¢Ù,10.7,8.65,8.25,442.4,19.9,5.58,0.152,0.055,4.78
¢Ù,10.2,8.14,8.19,460,11.1,5.71,0.426,0.056,1.46
¢Ù,10.2,8.04,8.42,466.6,12.3,6.32,0.329,0.052,1.45
¢Ù,9.7,8.21,8,485.2,13,6.05,0.401,0.048,1.79
¢Û,9.7,8.05,8,475.2,11.5,5.84,0.489,0.038,2.12
¢Ù,10.7,8.49,8.2,480.2,11.5,5.9,0.345,0.05,1.76
¢Û,9.7,8.09,7.98,466.6,16.9,5.28,0.415,0.041,1.68
¢Ù,10.1,8.11,8.1,480.2,14.4,6.29,0.404,0.051,1.16
¢Ù,10.3,8.37,7.82,442.4,11.4,6.67,0.513,0.049,1.6
¢Û,12.4,7.62,8.52,497.8,5.1,2.98,0.082,0.041,5.61
¢Ú,10.9,8.27,8.11,620.4,0.7,2.12,0.025,0.069,4.84
¢Ò,9.8,8.31,8.41,362.5,3.9,0.66,0.076,0.012,1.26
¢Ú,9.6,7.79,6.93,315.7,6.8,1.33,0.245,0.096,1.61
¢Ú,11.2,8.13,7.74,552.9,5.6,1.18,0.031,0.083,5.99
¢Ú,15.5,7.68,7.52,522.6,12.9,1.49,0.025,0.034,2.29
¢Ú,12.7,8.07,8.55,386.4,20.3,0.65,0.025,0.033,2.19
¢Ú,13.2,8.15,9.03,526.4,13.3,1.48,0.025,0.099,3.96
¢Ú,14.6,8.13,8.29,631.7,22.9,1.46,0.053,0.064,5.11
¢Ú,18,8.04,9.41,347.7,116,0.91,0.025,0.036,0.95
¢Ú,14.6,8.26,6.69,326.9,1.3,0.81,0.025,0.008,0.15
¢Ú,13.6,8.35,8.79,671.6,4.7,2.1,0.025,0.005,1.48
¡”¢ı,10.5,9.52,8.43,800.5,12.3,7.06,0.026,0.043,1.15
¡”¢ı,13.2,7.58,5.51,613.3,31.9,2.54,3.843,0.122,10.46
¢Ù,12.4,8.55,6.55,602.5,19.4,7.9,0.025,0.099,1.1
¢Ò,11.3,8.25,9.9,372.5,23,0.53,0.025,0.005,0.52
¢Ú,16,7.71,9.75,506.3,28.5,0.71,0.048,0.056,2.15
¢Ò,11.3,8.26,9.78,519.9,3.7,0.84,0.025,0.006,0.45
¢Ò,12.1,7.54,8.42,115.2,4.8,1.06,0.025,0.02,0.96
¢Ò,10.5,8.44,10.03,402.4,6.7,0.59,0.025,0.013,2.24
¢Ú,12.2,8.53,7.34,401.5,2,0.25,0.025,0.016,1.82
¢Ú,11.4,8.19,9.15,402,5.6,0.25,0.029,0.036,4.06
¢Ò,18.1,8.03,9.08,530.6,13.7,0.25,0.025,0.015,0.84
¢Ú,11.8,8.04,9.63,337.7,9,0.52,0.025,0.036,1.99
¡”¢ı,15.5,9.28,6.62,1491.9,4.3,3.79,0.081,0.028,0.79
¢Ò,9.7,8.23,7.7,245.5,2,1.59,0.025,0.006,0.05
¢Ò,6.2,8.42,10.39,933.8,29.1,0.69,0.025,0.005,0.51
¢Ò,12.5,8.39,10.07,1033.8,3.7,0.75,0.025,0.005,0.5
¢Û,9.8,7.92,7.1,411.2,13.1,2.29,0.044,0.186,5.2
¢Ò,20.7,7.93,7.57,236.7,8.7,0.93,0.025,0.019,0.66
¢Û,20.4,7.68,5.54,362.9,6.4,0.54,0.025,0.01,0.55
¢Ò,17.7,7.86,9.82,175.7,13.4,1.16,0.025,0.014,0.31
¢Ú,17.1,7.7,7.18,322.8,4.6,1.96,0.086,0.077,4.84
¢Ú,19.3,7.61,7.48,342,10.1,1.14,0.025,0.007,0.33
¢Ú,17.4,8.04,7.17,413.2,11,1.37,0.025,0.015,0.53
¢Ú,19.9,8.11,7.4,291.1,11.2,1.36,0.025,0.013,0.5
¢Ú,18,8.06,8.71,299.5,67.7,1.01,0.025,0.027,1.07
¢Ú,14,7.68,7.82,163.4,25.6,1.25,0.047,0.057,1.35
¢Ò,17.2,7.89,8.15,214.9,97.8,0.84,0.025,0.019,0.77
¢Ú,13.1,7.54,8.07,436.6,4.4,3.28,0.025,0.05,1.4
¢Ú,12.6,7.72,7.26,671.3,19.4,4,0.025,0.012,4.09
¢Ú,18.6,7.69,7.42,155.1,61.5,1.11,0.043,0.045,0.4
¢Ú,18.2,7.97,8.41,289.3,47.8,0.57,0.025,0.05,1.86
¢Ú,17.4,8.06,8.69,281.3,35.7,0.27,0.025,0.047,2.09
¢Ú,18.8,8.12,7.93,311,57.2,2.03,0.025,0.075,2.12
¢Ú,18.2,7.98,7.49,278.9,26,1.23,0.049,0.057,1.39
¢Ú,17.5,7.87,7.2,278.8,30.9,1.17,0.026,0.049,1.34
¢Ú,17.6,8.58,8.81,483.5,33.2,0.7,0.11,0.055,1.38
¢ı,11.8,8.36,7.78,513.5,15.4,11.78,0.148,0.051,1.08
¢Û,14.8,8.45,8.54,593.3,35.9,1.9,0.154,0.143,5.61
¢Û,16.7,7.86,7.67,581.4,38.1,1.37,0.025,0.109,4.18
¢Ò,15.4,8.12,8.41,291.6,5.3,0.33,0.025,0.012,1.32
¢Ù,19.3,7.49,3.48,274.4,10,0.95,0.025,0.033,0.84
¢Ú,18.4,8.18,8.6,245.1,40.4,0.49,0.025,0.048,0.63
¢Ú,17.3,6.93,9.01,103.1,76.7,1.96,0.025,0.04,2.02
¢Ú,19.2,7.98,7.93,278.5,96.1,1.89,0.025,0.1,1.57
¢Ú,18.4,8.05,9.19,164,62.1,1.19,0.073,0.035,1.18
¢Û,19.2,7.91,5.37,330.4,11.4,3.2,0.025,0.018,0.64
¢Û,10.4,8.67,8.51,289.4,2.9,4.07,0.025,0.005,0.23
¢Ú,10.2,7.84,9.8,452.7,119.3,1.22,0.034,0.038,0.92
¢Ú,12,8.13,10.72,309.6,879.4,1.06,0.025,0.057,1.66
¢Ú,10,8.04,6.84,435.5,5.9,1.4,0.025,0.013,1.14
¢Ù,12.5,7.83,8.75,385,15.1,3.79,1.274,0.294,5.54
¢Ú,20.6,7.76,6.74,123.7,37.7,1.77,0.054,*,*
¢Ú,14.9,7.05,9,81,51.4,0.81,0.025,0.03,0.73
¢Û,16.4,6.75,5.08,173.5,49.6,1.74,0.155,0.04,1.35
¢Û,15.9,7.79,8.41,239.5,6.9,0.91,0.695,0.106,2.02
¢Ò,7.5,8.17,9.71,315.6,23.8,1.53,0.025,0.005,0.28
¢Ò,11.4,8.28,10.67,443.6,27,1.15,0.025,0.005,0.37
¢Ò,5.8,8.44,11.86,1074.6,7.6,0.8,0.025,0.005,0.49
¢Ò,6.3,8.28,10.62,496.4,32.1,0.36,0.025,0.006,0.27
¢Ò,4.4,7.84,7.62,199.8,30.1,0.62,0.042,0.01,0.6
¢Ò,9.3,7.88,11.49,164,2.7,1.4,0.027,0.018,0.58
¢Û,6.4,8.26,10.54,1417.2,115.6,3.2,0.3,0.101,7.32
¢Û,4.8,8.54,19.39,569.8,12.3,4.51,0.03,0.04,7.51
¢Ú,7.5,7.82,10.89,773.4,17.4,3.41,0.225,0.041,7.21
¢Û,10.1,7.81,9.96,1364.3,3.4,3.87,0.137,0.12,7.3
¢Ú,1.2,8.81,11.55,1863.1,97.8,1.84,0.424,0.041,5.38
¢Ò,1,8.09,11.9,228.4,0.9,1.02,0.025,0.005,1.51
¢Ù,7.1,8,10.54,857.1,20,3.26,1.479,0.158,9.36
¢Ò,3.2,8.31,11.97,575.1,13.9,0.97,0.025,0.018,5.64
¢Ú,3.7,8.62,14.25,1043.5,5.7,2.05,0.049,0.024,7.6
¢Ú,4.8,8.05,9.68,397.7,12.7,0.94,0.086,0.023,1.71
¢Ú,6.7,8.26,11.54,898,11.8,2.47,0.43,0.053,10.72
¢Ú,7.3,7.95,9.77,807.9,13.5,2.63,0.219,0.06,11.7
¢Û,3.7,8.35,12.02,2725.4,738.6,3.15,0.308,0.117,5.97
¢Ò,3,8.43,11.55,966.6,14.6,1.05,0.058,0.011,3.92
¢Û,6,8.01,11.94,1496.3,43.3,3.26,0.371,0.144,7.98
¢Û,3.5,8.32,11.41,1996.4,119.7,3.44,0.279,0.112,8.28
¢Ú,2.7,8.39,11.15,2354.4,27,3.2,0.375,0.07,6.08
¢Ú,4.6,8.68,16.01,580.6,14.4,3.36,0.061,0.031,5.02
¢Ú,0.3,8.58,13.72,2131.6,16,3.13,0.497,0.005,13.82
¢Ò,0.5,8.54,12.53,929.7,8.7,1.54,0.097,0.005,7.76
¢Ú,0.7,8.52,13.14,1782.7,14.7,2.21,0.31,0.03,13.12
¢Ù,1.2,8.4,11.09,1484.1,4.8,3.58,1.457,0.252,16.54
¢Ú,6.8,7.94,11.34,351.3,74.6,1.64,0.029,0.063,3.2
¢Ò,8.7,8.24,10.46,328.3,1,0.25,0.025,0.011,2.1
¢Ú,8.5,7.54,9.08,375.3,125.3,1.92,0.025,0.073,2.94
¢Ò,7.3,8.37,12.61,366.1,16.7,1,0.025,0.011,1.56
¢Ò,4.9,8.14,11.5,416.5,5.8,0.95,0.029,0.005,1.72
¢Ò,0.8,8.34,11.97,1353.5,26,1.86,0.035,0.005,3.45
¢Ú,1.2,8.24,11,1770.7,2.6,2.17,0.367,0.04,5.21
¢Ú,1.1,8.35,11.29,1462.7,13.8,1.5,0.051,0.022,3.4
¢Ú,0.4,8.55,10.98,1027.6,11.7,0.74,0.13,0.036,3.56
¢Ù,0.8,8.41,11.69,875.3,233,6.86,0.425,0.245,3.51
¢Ò,8.3,7.88,11.89,226.4,18.2,0.6,0.064,0.011,0.59
¢Ò,8.8,8.26,10.08,322.1,4.2,1.49,0.025,0.016,1.95
¢Ú,11.4,7.96,9.73,289.7,26,1.78,0.025,0.03,1.26
¢Û,13.3,7.88,7.93,227.6,3.5,1.72,0.025,0.029,1.41
¢Ò,6.9,8.26,10.51,416.1,19.6,1.15,0.025,0.019,1.97
¢Ú,6.6,8.12,10.18,587.8,17.9,1.43,0.132,0.04,5.97
¢Ú,5,8.16,10.84,502.8,46.5,0.54,0.025,0.025,2.72
¢Ò,5.9,8.5,10.77,573.6,17.7,1.3,0.056,0.013,1.4
¢Ú,3.1,8.46,9.65,697.9,40.6,1.59,0.337,0.053,2.56
¢Û,1.2,8.33,9.56,836.5,43.5,2.29,0.506,0.055,3.22
¢Ò,4.1,8.35,10.79,542.1,2.5,0.25,0.073,0.007,2
¢Ú,2.6,8.33,9.67,649.9,10.1,1.25,0.169,0.011,2.47
¢Ú,4.1,8.38,9.85,929.8,19.5,0.86,0.065,0.032,3.9
¢Ò,2.6,8.64,11.94,654.2,11.2,0.59,0.124,0.005,2.49
¢Û,1.5,8.57,14.08,1211.1,24.6,2.31,0.501,0.061,8.86
¢Û,2,8.66,12.27,1375.5,321.7,2.87,0.352,0.197,9.24
¢Ò,5.7,8.42,14.2,513.1,16.6,0.88,0.06,0.005,2.06
¢Ò,4.3,8.31,10.72,517.2,5.2,0.79,0.042,0.005,2.56
¢Ò,1,8.44,11.55,704,6.7,0.25,0.025,0.005,1.5
¢Ú,4,8.2,10.97,656.7,12.3,0.27,0.147,0.033,3.1
¢Ò,4,8.31,9.79,626.2,3.4,0.28,0.025,0.007,1.36
¢Ò,0.8,8.07,11.6,689.3,21.5,0.25,0.054,0.017,3.34
¢Ú,4.8,8.38,10.87,481.4,114.8,1.1,0.132,0.042,1.74
¢Ú,1.3,8.34,11.08,400,29.9,1.41,0.347,0.025,4.28
¢Ò,2.7,8.42,11.13,563.3,10.9,0.5,0.096,0.016,3.09
¢Ò,0.8,8.2,12.64,407,23,0.34,0.059,0.016,3.03
¡”¢ı,2.7,8.19,8.05,1020.3,26.3,5.15,2.5,0.272,7.47
¡”¢ı,1.7,8.28,9.77,721.9,16.6,15.68,0.162,0.051,3.93
¢Ú,1,8.28,9.68,375,1.8,1.57,0.166,0.012,1.66
¢Ò,8.4,8.52,10.58,463,10,0.45,0.025,0.005,0.76
¢Û,3,8.1,9.21,775,7,1.87,0.935,0.105,6.54
¢Ò,2.2,8.15,12.2,423,46,0.5,0.026,0.005,1.44
¢Ò,0.9,8.27,13.53,509,37,0.66,0.037,0.005,1.48
¢Ò,1.5,7.98,12.24,354,1,0.36,0.025,0.006,0.85
¢Ò,5.7,8.47,8.69,440.7,5.2,1.24,0.025,0.005,0.62
¢Ò,1.7,8.23,11.83,621.7,13.1,0.25,0.025,0.005,0.94
¢Ò,1.6,8.08,11.19,763.2,48.8,1.14,0.09,0.005,2.55
¢Ú,1.6,8.34,11.83,690.6,35.3,1.08,0.14,0.026,2.48
¢Ú,5,7.95,11.4,1744.8,14,3.74,0.281,0.005,0.75
¢Ò,1.4,8.56,10.25,858,29.2,1.69,0.097,0.008,3.92
¢Ú,0.6,8.47,9.85,781.3,5.2,1.63,0.202,0.027,4.55
¢Ú,1.6,8.44,10.85,789.9,10.9,1.35,0.16,0.013,2.59
¢Ú,4,8.44,10.31,654.5,3.6,2.58,0.025,0.005,0.89
¢Ò,4,8.25,12.06,459.3,3.1,0.29,0.025,0.005,1.55
¢Ú,4.3,8.7,10.94,890.3,12.2,2.61,0.025,0.005,0.8
¢Ò,2.8,7.81,14.91,1382.9,4.4,0.79,0.025,0.005,1.81
¢Ò,4.8,7.94,11.76,510.6,26.3,0.54,0.025,0.009,1.97
¢Ò,2.9,7.71,13.63,323.1,32.4,0.48,0.025,0.006,1.49
¢Ò,2.7,8.21,10.61,304.5,13.4,0.49,0.025,0.014,1.52
¢Ò,1.9,8.06,14.65,216.6,37.5,1.11,0.025,0.005,1.24
¢Û,15.1,7.93,5.34,218.2,20.9,1.61,0.052,*,*
¢Ò,4.6,6.71,8.49,69.7,4.3,0.25,0.025,0.005,0.25
¢Ò,2.8,7.19,11.78,108.9,5,1.15,0.042,0.015,0.72
