ÀÆ÷ ¿‡±,ÀÆŒ¬(°Ê),pH(Œﬁ¡ø∏Ÿ),»‹Ω‚—ı(mg/L),µÁµº¬ (¶ÃS/cm),◊«∂»(NTU),∏ﬂ√ÃÀ·—Œ÷∏ ˝(mg/L),∞±µ™(mg/L),◊‹¡◊(mg/L),◊‹µ™(mg/L)
¢Ú,7.8,7.26,9.16,675.5,126.5,3.87,0.451,0.086,3.61
¢Û,7.2,8.12,10.85,658.9,35.2,3.18,0.417,0.136,3.89
¢Û,10.3,8.47,9,413.3,31.1,3.53,0.424,0.117,3
¢Ú,15,7.66,10.08,1250.6,119,3.06,0.206,0.06,2.2
¢Û,6.4,8.08,11.13,747.4,284.9,4.47,0.888,0.083,2.16
¢Û,14.8,7.77,10.56,848.6,46.5,4.07,0.266,0.056,2.33
¢Ù,6.8,8.02,9.72,662,39.4,4.11,0.187,0.069,2.36
¢Ú,12,8.75,10.24,615.8,24.6,3.04,0.074,0.051,2.06
¢Û,9.7,7.86,11.46,1040,18.2,5.95,0.168,0.066,2.82
¢Û,4.7,8.17,14.6,1203.9,18.9,5.98,0.18,0.036,2.78
¢Ù,6.2,8.13,16.04,1108.8,36.5,6.93,0.228,0.053,2.4
¢Ú,7.2,7.91,12.47,1131.5,8.3,2.48,0.12,0.026,3.06
¢Ú,8.1,7.61,12.28,739.8,28.7,3.34,0.026,0.052,1.97
¢Ò,22,8.36,8.54,318.3,50.6,1.88,0.034,*,*
¢Ú,7.8,8.03,11.6,438,11.9,1.68,0.075,0.061,2.14
¢Û,8.4,7.66,9.85,612.2,13.9,2.57,0.515,0.066,7.57
¢Ú,10.7,8.12,10.16,370.7,42.4,1.83,0.067,0.08,2.09
¢Ú,22,7.46,7.22,519.7,101,2.75,0.14,0.052,2.48
¢Û,22.9,7.6,6.7,460.8,71.3,3.97,0.085,0.129,1.26
¢Û,23.5,7.71,7.11,476,57.6,3.87,0.13,0.148,2.58
¢Ú,7.6,8.8,12.34,400.2,13.7,1.87,0.025,0.023,1.24
¢Ú,4.4,7.95,12.48,439.6,25.8,2.65,0.025,0.016,1.04
¢Ú,5.7,8.5,12.48,524.1,17.1,2.81,0.025,0.043,1.4
¢Û,7.4,7.83,10.01,635.7,26.3,3.75,0.249,0.133,3.63
¢Ú,6.6,7.34,10.13,577.1,33.3,2.67,0.221,0.097,2.96
¢Û,6.8,7.89,12.58,555.2,53.6,4.06,0.25,0.116,3.21
¢Û,11.3,7.51,8.54,490.8,85.9,2.51,0.41,0.109,3.44
¢Ù,6.4,8.31,17.31,469,17,3.56,0.025,0.058,2.34
¢Û,3.8,8.09,12.31,346.3,3.7,3.96,0.025,0.032,0.86
¢Ú,12.5,7.74,10.14,364.6,46.1,1.93,0.075,0.084,2.45
¢Ò,7.7,7.08,9.59,166.9,8,0.92,0.067,0.017,2.98
¢Û,6.9,7.96,10.11,599.1,164.8,5.25,0.61,0.11,4.37
¢Û,11.1,7.58,6.96,468.3,40.4,2.29,0.95,0.159,3.54
¢Û,7.1,7.99,10.74,579.6,9.8,2.82,0.522,0.113,2.92
¢Ú,10.1,7.95,10.54,366.9,53.5,1.65,0.025,0.075,1.47
¢Û,20,8.38,10.89,522.4,19.8,5.73,0.025,*,*
¢Ú,5.5,8.16,12.71,717,5.8,2.73,0.143,0.026,3.79
¢Û,5.6,8.37,12.59,837.8,26.1,4.19,0.048,0.07,1.74
¢Û,4.7,8.28,17.23,1028.5,25.1,4.22,0.188,0.098,3.24
¢Û,6.2,8.23,13.28,1043.7,9,4.94,0.082,0.045,1.2
¢Û,8.4,8.33,9.83,1016.3,6,4.9,0.025,0.039,0.75
¢Û,3.5,8.15,10.73,1377.7,3.9,4.54,0.051,0.037,1.01
